candidate_id;city;fresh_graduate_status;skills;excel_skill;sql_skill;python_skill;power_bi_skill;looker_studio_skill;database_skill;tableau_skill;other_skills;candidate_goals;platform_source;province;for_job;upskills;networking;switch_career
1;Jawa Tengah;Ya;Python, Tableau;0;0;1;0;0;0;1;;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;1;1;0
2;Padang;Ya;Excel, SQL, Python, Power BI;1;1;1;1;0;0;0;;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Sumatera Barat;1;1;1;1
3;Surabaya;Ya;Excel, SQL, Python, Power BI, Databases;1;1;1;1;0;1;0;;Cari Kerja, Upskill, Networking;Teman;Jawa Timur;1;1;1;0
4;Bandung;Ya;Python, Power BI;0;0;1;1;0;0;0;;Upskill;LinkedIn;Jawa Barat;0;1;0;0
5;Yogyakarta;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;1;1;1;1;1;1;1;;Upskill, Networking, Switch Career;Teman;DI Yogyakarta;0;1;1;1
6;Tangerang ;Ya;Excel, SQL, Power BI, Tableau;1;1;0;1;0;0;1;;Upskill, Networking;Teman;Banten;0;1;1;0
7;Kudus;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;1;1;1;1;1;1;1;;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Tengah;1;1;1;1
8;Boyolali;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Airflow ;1;1;1;1;1;1;0; Airflow;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;1;1;0
9;Tangerang;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;1;1;1;1;1;1;1;;Upskill, Networking;Instagram;Banten;0;1;1;0
10;Sidoarjo, Jawa Timur;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Tableau;1;1;1;1;1;0;1;;Cari Kerja, Upskill, Networking, Switch Career;Teman;Jawa Timur;1;1;1;1
11;Banyumas;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases;1;1;1;1;1;1;0;;Cari Kerja;Instagram;Jawa Tengah;1;0;0;0
12;Jawa Tengah;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;1;1;1;1;1;1;1;;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;1;1;0
13;Bekasi;Ya;Excel, SQL, Python, Power BI, Tableau;1;1;1;1;0;0;1;;Upskill;Teman;Jawa Barat;0;1;0;0
14;Jakarta Timur;Tidak;Excel, SQL, Python, Power BI;1;1;1;1;0;0;0;;Upskill, Networking;LinkedIn;Jakarta;0;1;1;0
15;Padang;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau, Anything;1;1;1;1;1;1;1; Anything;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Sumatera Barat;1;1;1;1
16;Cianjur;Tidak;Excel, SQL, Python, Power BI, Databases;1;1;1;1;0;1;0;;Cari Kerja, Networking;Teman;Jawa Barat;1;0;1;0
17;Medan;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;1;1;1;1;1;1;1;;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Sumatera Utara;1;1;1;1
18;Gresik;Ya;Excel, SQL, Python, Power BI, Tableau;1;1;1;1;0;0;1;;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Timur;1;1;1;0
19;Makassar;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;1;1;1;1;1;1;1;;Cari Kerja, Upskill, Networking;LinkedIn;Sulawesi Selatan;1;1;1;0
20;Jawa Barat,;Ya;Excel, SQL, Power BI, Looker Studio;1;1;0;1;1;0;0;;Cari Kerja, Upskill;LinkedIn;Jawa Barat;1;1;0;0
21;Bandung ;Ya;Power BI, Looker Studio, Tableau;0;0;0;1;1;0;1;;Cari Kerja, Upskill;LinkedIn;Jawa Barat;1;1;0;0
22;Bekasi;Tidak;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;1;1;1;1;1;1;1;;Upskill, Networking, Switch Career;Instagram;Jawa Barat;0;1;1;1
23;Tangerang;Ya;Excel, SQL, Python, Power BI, Looker Studio, Databases, Tableau;1;1;1;1;1;1;1;;Upskill, Networking;LinkedIn;Banten;0;1;1;0
24;Dumai;Tidak;Excel, SQL, Python, Power BI, Tableau;1;1;1;1;0;0;1;;Upskill;LinkedIn;Riau;0;1;0;0
25;Dumai;Tidak;Excel, SQL, Python, Power BI, Tableau;1;1;1;1;0;0;1;;Upskill;LinkedIn;Riau;0;1;0;0
26;Pekanbaru;Tidak;Excel, Python, Power BI;1;0;1;1;0;0;0;;Upskill, Switch Career;LinkedIn;Riau;0;1;0;1
27;Depok;Ya;Excel, SQL, Python, Power BI, Looker Studio;1;1;1;1;1;0;0;;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;1;1;1
28;Purworejo;Ya;Excel, SQL, Python, Looker Studio;1;1;1;0;1;0;0;;Cari Kerja, Upskill, Networking;LinkedIn;Jawa Tengah;1;1;1;0
29;Medan;Ya;SQL, Python, Power BI, Looker Studio, Tableau;0;1;1;1;1;0;1;;Cari Kerja;LinkedIn;Sumatera Utara;1;0;0;0
30;Malang;Tidak;Excel;1;0;0;0;0;0;0;;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Timur;1;1;1;1
31;Bekasi;Ya;Excel, Power BI, Looker Studio, Tableau;1;0;0;1;1;0;1;;Cari Kerja, Upskill, Networking, Switch Career;LinkedIn;Jawa Barat;1;1;1;1
32;Jakarta ;Tidak;Excel, SQL, Python, Databases;1;1;1;0;0;1;0;;Cari Kerja, Upskill, Networking, Switch Career;Teman;Jakarta;1;1;1;1
33;Sumatera selatan;Tidak;Excel, Looker Studio, Databases;1;0;0;0;1;1;0;;Upskill;LinkedIn;Sumatera Selatan;0;1;0;0
